cer_delta_vs_A0,cer_delta_vs_A2,cer_delta_vs_A3,cer_delta_vs_A4,checkpoint,dataset,deletions,insertions,model,normalized_cer,normalized_wer,prediction_sha256,raw_cer,raw_wer,samples,substitutions,wer_delta_vs_A0,wer_delta_vs_A2,wer_delta_vs_A3,wer_delta_vs_A4
,,,,step-200,fleurs,,,A6,0.020719647325151913,0.06881405563689605,c9c9293447d5639ce195cb1af581a30d3b956c51cc5878b84a4b8803b74d1a5e,,,743,,,,,
,,,,step-200,cv_spontaneous,,,A6,0.15074309978768577,0.19254658385093168,c47d3883c34efb42adb58be7e7bfe4ea3a9dc98d328566e0df31005e447b7079,,,11,,,,,
,,,,step-200,tsc_exploratory,,,A6,0.06471521777464292,0.158899340337161,c952a1abce5542b55d3b57cf8e172ff0bfc2a284a90766dc2a8d77ba8702067e,,,3484,,,,,
,,,,step-050,mediaspeech_clean,723,302,A7,0.08058452311685986,0.13975953853638196,8f9088f4396bf2974af1179b0b6601c438ef1d121419ec718004ff5515681786,0.13642087433277245,0.4155952463687539,493,986,,,,
,,,,step-050,mediaspeech_phone,923,327,A7,0.09545495233406436,0.1577593995413163,18a4857571fa550134b8a6618821f3ac8b574afe66784ac1aaff9a2b96d11b89,0.1523228991385939,0.4372089790812426,493,1020,,,,
,,,,step-050,mediaspeech_g711,785,301,A7,0.08482522490265408,0.14365140037528668,30475b24b0229a86d105d7c4ea4c5f01d5e2b98091db7c5a729075a9424d4c38,0.14200385571169083,0.4201125860031969,493,981,,,,
,,,,step-050,cv_scripted,1484,5275,A7,0.0948871337519167,0.21741075422743134,2c069644f1ea7fd12c899e61ab2b9a2e9efce50da583aab649d556f9a61e04be,0.12344050280845134,0.2554596878132608,9650,5391,,,,
,,,,step-050,fleurs,132,153,A7,0.0206362444894555,0.06819758033443785,019eb8bfb7194fc25ae98956599e235bc794a00f3c1a3878bbd83c2e2d794a1a,0.058384563448349386,0.2667237087741133,743,600,,,,
,,,,step-050,cv_spontaneous,1,23,A7,0.15074309978768577,0.19254658385093168,a67855c892dfcf00f0db0f0645084d04eef7545f7bbdc8d6ffe36dd704259a21,0.17768595041322313,0.36024844720496896,11,7,,,,
,,,,step-050,tsc_exploratory,1725,526,A7,0.06328315779911618,0.1578609821646714,5ba842bd0798d1ed95ff81678593a7180aa88f3bdeef98ecd3d8108a97406d05,0.11398235573865974,0.3623564622526264,3484,2918,,,,
,,,,step-100,mediaspeech_clean,713,300,A7,0.07890614510137403,0.13809159774827995,a705bdb917506be319953e2cd769bfe0f10a646c374c6a6777b9ac0c4f4b21be,0.13442615643491537,0.40843700048648274,493,974,,,,
,,,,step-100,mediaspeech_phone,900,320,A7,0.09304927717853466,0.15567447355618874,8528c5cb56c02213f081df17079265a2db12999b5e0a096d60e31dfa463ef648,0.14930296310329072,0.4327611369796372,493,1020,,,,
,,,,step-100,mediaspeech_g711,785,304,A7,0.0834825224902654,0.1426784349155605,9e87a0423060e83f7719d4d2eb745f1e328d20c72b43f442584518300b411b66,0.13961910917458797,0.4128848425880881,493,964,,,,
,,,,step-100,cv_scripted,1490,5056,A7,0.09258265142999504,0.2132772658137246,1ded0f5183a66bae880bd44b66ec8fe8f031a425b21bbe174a1b60c71a8ef754,0.12098471414334382,0.2584848918802807,9650,5373,,,,
,,,,step-100,fleurs,130,156,A7,0.021112832122006434,0.06904523387531787,adf4b59db788c558da2dcc156112ec12dd6484508d651cf1a6ca4d717d32978a,0.05762647619724483,0.26120099564405724,743,610,,,,
,,,,step-100,cv_spontaneous,1,23,A7,0.15074309978768577,0.19254658385093168,651fd3577592d37944c9538d9784d8291f5ee346eebcdd061d4fb89240f4d3e0,0.17768595041322313,0.35403726708074534,11,7,,,,
,,,,step-100,tsc_exploratory,1678,513,A7,0.061343464623309446,0.15569264598094307,0ee013ee770e5dc827d4e409f713bf3047cf845035f0298cdd6e888971d36cb0,0.11076556430109595,0.35163694111898364,3484,2907,,,,
,,,,step-150,mediaspeech_clean,688,300,A7,0.07634382133106565,0.1356591840989645,b2c7673bd5c37ad39494351ca6b674b1c2a14805b39146991b23ea3d37b10754,0.13233114545839508,0.40579609423865454,493,964,,,,
,,,,step-150,mediaspeech_phone,891,318,A7,0.09201987199570336,0.15435402043227464,07d3d9e0db70dac4da515f6ad1c7a462019816e092891d5fdfe6bdecc084d67c,0.14818859556258845,0.4296337480019459,493,1012,,,,
,,,,step-150,mediaspeech_g711,767,301,A7,0.08154679317907175,0.14080200152894573,00d477186a82e0286edb6cf0bbf25db42cb1942af4d755f167c4155b446527d6,0.13661031681469182,0.4056570991729794,493,958,,,,
,,,,step-150,cv_scripted,1478,4274,A7,0.0876118504370212,0.19883689719960634,cfbc4ac78a55e473c4fa1e111f2b2e2ee6cb14abe5c813dff582937d70f8ca1a,0.1143969182707821,0.25204067019905485,9650,5360,,,,
,,,,step-150,fleurs,132,156,A7,0.020969855832241154,0.06950759035216152,14bd71a6907aba6d831c662275721855e2f4468720f5d7972dec11fbb35febdc,0.056453809980692465,0.25614499066583696,743,614,,,,
,,,,step-150,cv_spontaneous,1,23,A7,0.15074309978768577,0.19254658385093168,a0503f782076689f0063e5dcc91d37dd10cca878e54af385d9eed60b2c2ebeeb,0.17768595041322313,0.35403726708074534,11,7,,,,
,,,,step-150,tsc_exploratory,1656,506,A7,0.060301480685892604,0.15474590764720253,259dd3b87d6601cb02dda83343e12b0f2e36d801b43365ed5277f27be88d9443,0.10862816135254859,0.34424627412655756,3484,2905,,,,
,,,,step-200,mediaspeech_clean,685,293,A7,0.07567247012487133,0.1343387309750504,38041b51c63a689ba43eb34321927da515a7c879719eeb21574e72cb5d94446b,0.1312613526193209,0.4032246855236639,493,955,,,,
,,,,step-200,mediaspeech_phone,889,318,A7,0.09185203419415477,0.15428452289943706,0e5b1f9290c9f58c0f1b4793e7e7308fdd3272015b17ee2892c5198351cd71d3,0.14786542897578478,0.42817429981235666,493,1013,,,,
,,,,step-200,mediaspeech_g711,779,303,A7,0.08188246878216891,0.1412884842588088,dc5d2856902bec5b7bb2f4b69c24387c7a2c3576c829694fedcd21a8abd2abfe,0.13693348340149547,0.4055181041073042,493,951,,,,
,,,,step-200,cv_scripted,1483,4853,A7,0.08982439073580312,0.20937639796009663,fabea56e8bffdba60a41b9de85a350f26b7d0182210eb41d6ea78406e524a082,0.11839756934033518,0.25959473005871403,9650,5365,,,,
,,,,step-200,fleurs,132,159,A7,0.02167282259025378,0.07027818448023426,38ae8ca487036aece4b1d05aefb247dd2d6f33c772d6b9e678507c666ef8b6fb,0.0567736280397522,0.25567828251400126,743,621,,,,
,,,,step-200,cv_spontaneous,1,20,A7,0.5997876857749469,0.17391304347826086,717069a69ff366d6ed4378c460a39f7d17d15e061baadc2b8427475886f34b85,0.6136363636363636,0.33540372670807456,11,7,,,,
,,,,step-200,tsc_exploratory,1651,567,A7,0.06191521991204587,0.15630344490593698,1ebb464670d6eb8bd91fac451eef6e11ade52a30e1dbe4e500b8dd09a108be29,0.10985182454059195,0.3439408746640606,3484,2900,,,,
,,,,step-050,robustness_proxy,,,A7,0.09014008861835922,0.15070539995830148,,0.14716337742514235,0.42866078254221973,986,,,,,
,,,,step-100,robustness_proxy,,,A7,0.08826589983440003,0.1491764542358746,,0.14446103613893935,0.4228229897838627,986,,,,,
,,,,step-150,robustness_proxy,,,A7,0.08678333258738755,0.14757801098061019,,0.14239945618864014,0.41764542358746265,986,,,,,
,,,,step-200,robustness_proxy,,,A7,0.08686725148816185,0.14778650357912293,,0.14239945618864014,0.41684620195983046,986,,,,,
